user_uuid,question_code,question_text,question_number,category_id,category_name,option_id,option_select,option_code,option_text,block_number,weight,created_at
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_4,Which meet-cute(s) would you totally fall for? (Pick all that make your heart do the thing 💘),,1,Love,,D,1_4_D,D. Assigned to sit next to each other in class,1,1.0,2025-08-03T06:09:43.023810
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_4,Which meet-cute(s) would you totally fall for? (Pick all that make your heart do the thing 💘),,1,Love,,B,1_4_B,"B. Bumping into each other at a concert, literally",1,1.0,2025-08-03T06:09:43.023810
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_6,What do you imagine when you think about your first love?,,1,Love,,D,1_6_D,"D. Freedom from my family—a way to feel older, more in control of my life.",1,1.0,2025-08-03T06:09:43.023872
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_6,What do you imagine when you think about your first love?,,1,Love,,A,1_6_A,A. All touch. All spark. Like we don’t need anyone else.,1,1.0,2025-08-03T06:09:43.023872
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_7,Which line from a rom-com would you want someone to say to you?,,1,Love,,C,1_7_C,C. “I didn’t know what home felt like until you.”,1,1.0,2025-08-29T06:09:43.023885
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_7,Which line from a rom-com would you want someone to say to you?,,1,Love,,A,1_7_A,A. “You make me want to be better.”,1,1.0,2025-08-29T06:09:43.023885
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_7,Which line from a rom-com would you want someone to say to you?,,1,Love,,OTHER,1_7_OTHER,Other,1,1.0,2025-08-29T06:09:43.023885
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_7,Which line from a rom-com would you want someone to say to you?,,1,Love,,B,1_7_B,B. “It’s always been you.”,1,1.0,2025-08-29T06:09:43.023885
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_7,Which line from a rom-com would you want someone to say to you?,,1,Love,,D,1_7_D,"D. “I love you, just as you are.”",1,1.0,2025-08-29T06:09:43.023885
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_8,How do you act when your crush is nearby?,,1,Love,,OTHER,1_8_OTHER,My version:,1,1.0,2025-08-23T06:09:43.023904
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_8,How do you act when your crush is nearby?,,1,Love,,D,1_8_D,D. I over analyze everything I say—or don’t say anything at all.,1,1.0,2025-08-23T06:09:43.023904
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_15,"If someone told you 'I love you' way too early, what would you do?",,1,Love,,A,1_15_A,A. I glitch. Then change the topic like nothing happened.,1,1.0,2025-08-22T06:09:43.023918
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_15,"If someone told you 'I love you' way too early, what would you do?",,1,Love,,OTHER,1_15_OTHER,None of these. What I did:,1,1.0,2025-08-22T06:09:43.023918
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_15,"If someone told you 'I love you' way too early, what would you do?",,1,Love,,C,1_15_C,"C. Say “sorry, I’m not feeling it like that” and pull away.",1,1.0,2025-08-22T06:09:43.023918
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_15,"If someone told you 'I love you' way too early, what would you do?",,1,Love,,B,1_15_B,B. “Whoa. Let’s slow this whole thing way down.”,1,1.0,2025-08-22T06:09:43.023918
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_9,How do you show someone you like them? [playlist:Love],,1,Love,,B,1_9_B,"B. I ask stuff, get details, and try to show up when it hits different.",2,1.0,2025-08-11T06:09:43.023932
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_9,How do you show someone you like them? [playlist:Love],,1,Love,,A,1_9_A,"A. I hover nearby—walk past, sit close, save a spot. Hope they load the hint.",2,1.0,2025-08-11T06:09:43.023932
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_9,How do you show someone you like them? [playlist:Love],,1,Love,,OTHER,1_9_OTHER,Other,2,1.0,2025-08-11T06:09:43.023932
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_9,How do you show someone you like them? [playlist:Love],,1,Love,,C,1_9_C,"C. I bring snacks, drop small gifts. Mostly to pretend I’m cool.",2,1.0,2025-08-11T06:09:43.023932
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_10,What do you wish someone you like understood about you?,,1,Love,,C,1_10_C,C. Not dating. Still wanna stand close in a hallway for no reason.,2,1.0,2025-08-08T06:09:43.023946
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_12,"Heartbreak doesn’t follow rules. Whether you cried, created, or just kept going—you showed up for yourself. And that matters. When your crush likes someone else",,1,Love,,C,1_12_C,C. I’m moving on. One doom scroll at a time.,2,1.0,2025-08-06T06:09:43.023951
e0fcda19-b5f0-48ab-9188-1290167ce8cf,1_12,"Heartbreak doesn’t follow rules. Whether you cried, created, or just kept going—you showed up for yourself. And that matters. When your crush likes someone else",,1,Love,,OTHER,1_12_OTHER,Other,2,1.0,2025-08-06T06:09:43.023951
